2020-01-26 10:39:11,916 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 10:39:11 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 10:39:12,436 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData/broker2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 10:39:12,450 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:39:12,457 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:39:22,459 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:39:32,465 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:39:42,470 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:39:52,476 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:40:02,480 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:40:12,486 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:40:22,491 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:40:32,664 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:40:32,677 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:40:32,679 | INFO  | Recovery replayed 2 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:40:32,977 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63154-1580015432851-0:1) is starting | org.apache.activemq.broker.BrokerService | main
