2020-01-27 21:24:06,611 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Mon Jan 27 21:24:06 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-27 21:24:07,335 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/broker-1/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-27 21:24:07,346 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-27 21:24:07,532 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-27 21:24:07,547 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-27 21:24:07,549 | INFO  | Recovery replayed 15 operations from the journal in 0.013 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-27 21:24:07,702 | INFO  | Apache ActiveMQ 5.8.0 (broker-1, ID:Abhijeets-MacBook-Pro.local-49490-1580140447563-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-27 21:24:07,719 | INFO  | Listening for connections at: tcp://localhost:61616?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-27 21:24:07,720 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-27 21:24:07,720 | INFO  | Establishing network connection from vm://broker-1?async=false&network=true to tcp://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | main
2020-01-27 21:24:07,756 | INFO  | Connector vm://broker-1 Started | org.apache.activemq.broker.TransportConnector | main
2020-01-27 21:24:07,769 | INFO  | broker-1 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-2
2020-01-27 21:24:07,769 | INFO  | Connector vm://broker-1 Stopped | org.apache.activemq.broker.TransportConnector | main
2020-01-27 21:24:07,773 | INFO  | broker-1 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-2
2020-01-27 21:24:07,774 | WARN  | Could not start network bridge between: vm://broker-1?async=false&network=true and: tcp://localhost:61626 due to: java.net.ConnectException: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | main
2020-01-27 21:24:07,775 | INFO  | Network Connector DiscoveryNetworkConnector:Q:B1-NC:BrokerService[broker-1] Started | org.apache.activemq.network.NetworkConnector | main
2020-01-27 21:24:07,776 | INFO  | Apache ActiveMQ 5.8.0 (broker-1, ID:Abhijeets-MacBook-Pro.local-49490-1580140447563-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-27 21:24:07,776 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-27 21:24:08,194 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-27 21:24:08,350 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-27 21:24:08,403 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
