2020-01-26 13:16:48,096 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 13:16:48 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 13:16:48,660 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/broker-2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 13:16:48,675 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 13:16:48,683 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 13:16:58,684 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 13:17:08,865 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 13:17:08,877 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 13:17:08,878 | INFO  | Recovery replayed 2 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 13:17:09,018 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-64235-1580024828891-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-26 13:17:09,030 | INFO  | Listening for connections at: tcp://localhost:61626?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-26 13:17:09,030 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-26 13:17:09,032 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-64235-1580024828891-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-26 13:17:09,032 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-26 13:17:09,372 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 13:17:09,470 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 13:17:09,515 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-01-26 13:18:37,323 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-64235-1580024828891-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-16
2020-01-26 13:18:39,210 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2020-01-26 13:18:39,215 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/broker-2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-16
2020-01-26 13:18:39,215 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2020-01-26 13:18:39,215 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2020-01-26 13:18:39,216 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2020-01-26 13:18:39,600 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-64235-1580024828891-0:1) uptime 1 minute | org.apache.activemq.broker.BrokerService | Thread-16
2020-01-26 13:18:39,600 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-64235-1580024828891-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-16
2020-01-26 13:18:39,600 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 13:16:48 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-16
2020-01-26 13:18:39,638 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-16
2020-01-27 21:25:35,930 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Mon Jan 27 21:25:35 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
